fen,evaluation
8/3nkpp1/1p2r2p/1R6/4p3/1P2B2P/2P2PP1/2K5 w - - 0 39,143
8/3nkpp1/1p2r2p/1R6/2P1p3/1P2B2P/5PP1/2K5 b - - 0 39,62
8/3nkpp1/1p4rp/1R6/2P1p3/1P2B1PP/5P2/2K5 b - - 0 40,143
8/3nk3/1p1r1p1p/1R4p1/2P1p2P/1PK1B1P1/5P2/8 b - - 1 43,27
8/3nkpp1/1p1r3p/1R6/2P1p3/1P2B1PP/2K2P2/8 b - - 2 41,72
8/3nk3/1p1r1p1p/1R4p1/2P1p2P/1P2B1P1/2K2P2/8 w - - 0 43,26
8/3n4/1p1rkp1p/1R4p1/2P1p2P/1PK1B1P1/5P2/8 w - - 2 44,32
8/3n4/1p1rkp1p/1R4p1/1KP1p2P/1P2B1P1/5P2/8 b - - 3 44,14
8/3nk3/1p3p1p/1R4p1/2P1p2P/1PKrB1P1/5P2/8 w - - 6 46,19
8/3nk3/1p1r1p1p/1RP3p1/1K2p2P/1P2B1P1/5P2/8 b - - 0 47,0
8/3nk3/3r1p1p/2R3p1/1K2p2P/1P2B1P1/5P2/8 b - - 0 48,0
8/3n4/3rkp1p/2R3p1/1K2p2P/1P2B1P1/5P2/8 w - - 1 49,0
8/3n4/3rkp1p/6p1/1KR1p2P/1P2B1P1/5P2/8 b - - 2 49,0
8/3nkp2/1p1r3p/1R4p1/2P1p3/1P2B1PP/2K2P2/8 w - - 0 42,57
8/3nk3/3r1p1p/1Rp3p1/1K2p2P/1P2B1P1/5P2/8 w - - 0 48,0
8/3nk3/1p1r1p1p/1R4p1/1KP1p2P/1P2B1P1/5P2/8 w - - 4 45,19
8/3nkp2/1p1r3p/1R4p1/2P1p2P/1P2B1P1/2K2P2/8 b - - 0 42,17
8/3nk3/1p3p1p/1R4p1/1KP1p2P/1P1rB1P1/5P2/8 b - - 7 46,13
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,20
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,8
rnbqkb1r/ppp2ppp/4pn2/8/Q1pP4/2N2N2/PP2PPPP/R1B1KB1R b KQkq - 1 5,-12
rnbqkb1r/pp3ppp/2p1pn2/8/2QP4/2N2N2/PP2PPPP/R1B1KB1R b KQkq - 0 6,-15
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 4,9
rnbqkb1r/p4ppp/2p1pn2/1p6/2QP4/2N2N2/PP2PPPP/R1B1KB1R w KQkq - 0 7,-9
r1bqkb1r/p2n1ppp/2p1pn2/1p4B1/3P4/2NQ1N2/PP2PPPP/R3KB1R b KQkq - 3 8,-29
r2qkb1r/pb1n1ppp/2p1pn2/1p4B1/3P4/2NQ1N2/PP2PPPP/R3KB1R w KQkq - 4 9,-26
rnbqkb1r/pp3ppp/2p1pn2/8/Q1pP4/2N2N2/PP2PPPP/R1B1KB1R w KQkq - 0 6,-12
r2qkb1r/pb1n1ppp/2p1pn2/1p4B1/3P4/2NQPN2/PP3PPP/R3KB1R b KQkq - 0 9,-39
r2qkb1r/1b1n1ppp/p1p1pn2/1p4B1/3P4/2NQPN2/PP2BPPP/R3K2R b KQkq - 1 10,-40
r2qkb1r/1b1n1ppp/p1p1pn2/1p4B1/3P4/2NQPN2/PP3PPP/R3KB1R w KQkq - 0 10,-39
r2qkb1r/1b1n1ppp/p3pn2/1pp3B1/3P4/2NQPN2/PP2BPPP/R3K2R w KQkq - 0 11,-32
r2qkb1r/1b1n1ppp/p3pn2/1pp3B1/3P4/2NQPN2/PP2BPPP/R4RK1 b kq - 1 11,-29
r2qk2r/1b1nbppp/p3pn2/1pp3B1/3P4/2NQPN2/PP2BPPP/R4RK1 w kq - 2 12,-38
r2q1rk1/1b1nbppp/p3pn2/1pp3B1/3P4/2NQPN2/PP2BPPP/R2R2K1 w - - 4 13,-43
r2qk2r/1b1nbppp/p3pn2/1pp3B1/3P4/2NQPN2/PP2BPPP/R2R2K1 b kq - 3 12,-42
r1bqkb1r/p2n1ppp/2p1pn2/1p6/3P4/2NQ1N2/PP2PPPP/R1B1KB1R w KQkq - 2 8,0
r2q1rk1/1b1nbppp/p3pn2/1pP3B1/8/2NQPN2/PP2BPPP/R2R2K1 b - - 0 13,-39
rnbqkb1r/p4ppp/2p1pn2/1p6/3P4/2NQ1N2/PP2PPPP/R1B1KB1R b KQkq - 1 7,-18
r4rk1/1b2bppp/p3pn2/1pn3B1/3q4/2N1PN2/PP2BPPP/R2R2K1 w - - 0 15,-31
r4rk1/1b2bppp/p3pn2/1pn3B1/3R4/2N1PN2/PP2BPPP/R5K1 b - - 0 15,-46
r2q1rk1/1b2bppp/p3pn2/1pn3B1/8/2NQPN2/PP2BPPP/R2R2K1 w - - 0 14,-30
r2q1rk1/1b2bppp/p3pn2/1pn3B1/3Q4/2N1PN2/PP2BPPP/R2R2K1 b - - 1 14,-47
r2r2k1/1b2bpp1/p3pn1p/1pn3B1/3R4/2N1PN2/PP2BPPP/3R2K1 w - - 0 17,-39
r2r2k1/1b2bppp/p3pn2/1pn3B1/3R4/2N1PN2/PP2BPPP/R5K1 w - - 1 16,-44
3r2k1/1b2bpp1/p3pn1p/1pn3B1/8/2N1PN2/PP2BPPP/3R2K1 w - - 0 18,-32
r2r2k1/1b2bppp/p3pn2/1pn3B1/3R4/2N1PN2/PP2BPPP/3R2K1 b - - 2 16,-53
6k1/1b2bpp1/p3pn1p/1pn5/5B2/4PN2/PP2BPPP/3N2K1 b - - 0 19,-49
r2R2k1/1b2bpp1/p3pn1p/1pn3B1/8/2N1PN2/PP2BPPP/3R2K1 b - - 0 17,-42
1B4k1/1b2bpp1/p3p2p/1pn5/1n6/4PN2/PP2BPPP/3N2K1 w - - 3 21,-49
1B4k1/1b2bpp1/p3p2p/1pnn4/8/4PN2/PP2BPPP/3N2K1 b - - 2 20,-41
6k1/1b2bpp1/p3pn1p/1pn5/5B2/2N1PN2/PP2BPPP/3r2K1 w - - 0 19,-32
6k1/1b2bpp1/p3p2p/1pnn4/5B2/4PN2/PP2BPPP/3N2K1 w - - 1 20,-36
3r2k1/1b2bpp1/p3pn1p/1pn5/5B2/2N1PN2/PP2BPPP/3R2K1 b - - 1 18,-69
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,15
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq - 1 2,3
rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,14
rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq - 3 3,3
rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 2 3,0
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq - 0 4,0
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 4 4,2
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq - 1 5,36
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq - 2 5,26
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - - 0 7,14
r1bq1rk1/ppp2pp1/2np1n1p/2b1p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w - - 0 8,20
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w - - 0 7,31
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQ - 3 6,34
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b - - 4 6,33
r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/2P5/P1NP1NP1/1P2PPBP/R1BQ1RK1 w - - 0 9,11
r1bq1rk1/ppp2pp1/2np1n1p/2b1p3/2P5/P1NP1NP1/1P2PPBP/R1BQ1RK1 b - - 0 8,2
r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/1PP5/P1NP1NP1/4PPBP/R1BQ1RK1 b - - 0 9,11
r2q1rk1/bpp2pp1/p1np1n1p/4p3/1PP3b1/P1NP1NP1/1B2PPBP/R2Q1RK1 w - - 3 11,38
r1bq1rk1/bpp2pp1/p1np1n1p/4p3/1PP5/P1NP1NP1/1B2PPBP/R2Q1RK1 b - - 2 10,17
r1bq1rk1/bpp2pp1/p1np1n1p/4p3/1PP5/P1NP1NP1/4PPBP/R1BQ1RK1 w - - 1 10,6
r2q1rk1/bpp2pp1/p1npbn1p/4p3/1PP5/P1NP1NPP/1B2PPB1/R2Q1RK1 w - - 1 12,37
r2q1rk1/bpp2pp1/p1npbn1p/4p3/1PP5/P1NP1NPP/1B2PPBK/R2Q1R2 b - - 2 12,35
r2q1rk1/bpp2pp1/p1np1n1p/4p3/1PP3b1/P1NP1NPP/1B2PPB1/R2Q1RK1 b - - 0 11,41
1r3rk1/bppq1pp1/p1npbn1p/4p3/1PP5/P1NP2PP/1B1NPPBK/R2Q1R2 w - - 5 14,60
1r3rk1/bppq1pp1/p1npbn1p/3Np3/1PP5/P2P2PP/1B1NPPBK/R2Q1R2 b - - 6 14,36
1r1q1rk1/bpp2pp1/p1npbn1p/4p3/1PP5/P1NP1NPP/1B2PPBK/R2Q1R2 w - - 3 13,42
1r1q1rk1/bpp2pp1/p1npbn1p/4p3/1PP5/P1NP2PP/1B1NPPBK/R2Q1R2 b - - 4 13,42
1r2nrk1/bppq1pp1/p1npb2p/3Np3/1PP5/P2P2PP/1B1NPPBK/R2Q1R2 w - - 7 15,63
1r2nrk1/bppq1pp1/p1npb2p/3Np3/QPP5/P2P2PP/1B1NPPBK/R4R2 b - - 8 15,58
1r2nrk1/bppq1pp1/p2pb2p/3Np3/QPPn4/P2P2PP/1B1NPPBK/R4R2 w - - 9 16,102
1r2nrk1/bppQ1pp1/p2pb2p/3Np3/1PPn4/P2P2PP/1B1NPPBK/R4R2 b - - 0 16,91
1r2nrk1/bppb1pp1/p2p3p/3Np3/1PPn4/P2P2PP/1B1NPPBK/R4R2 w - - 0 17,113
1r2nrk1/bppbNpp1/p2pn2p/4p3/1PP5/P2PP1PP/1B1N1PBK/R4R2 b - - 2 18,92
1r2nrk1/bppb1pp1/p2p3p/3Np3/1PPn4/P2PP1PP/1B1N1PBK/R4R2 b - - 0 17,85
1r2nrk1/bppb1pp1/p2pn2p/3Np3/1PP5/P2PP1PP/1B1N1PBK/R4R2 w - - 1 18,123
1r2nr2/bppbNppk/p2pn2p/4p3/1PP5/P2PP1PP/1B1N1PBK/R4R2 w - - 3 19,99
1r2nr2/bppbNppk/p3n2p/2p1p3/1PN5/P2PP1PP/1B3PBK/R4R2 b - - 1 20,64
1r2nr2/bppbNppk/p3n2p/2p1p3/1P6/P2PP1PP/1B1N1PBK/R4R2 w - - 0 20,95
1r2nr2/bpp1Nppk/p3n2p/2p1p3/bPN5/P2PP1PP/1B3PBK/R4R2 w - - 2 21,151
1r2nr2/bpp1Nppk/p3n2p/2p1p3/bPN1B3/P2PP1PP/1B3P1K/R4R2 b - - 3 21,135
1r2nr2/bppbNppk/p2pn2p/2P1p3/1P6/P2PP1PP/1B1N1PBK/R4R2 b - - 0 19,97
1r2nr1k/bpp1Npp1/p3n2p/2p1p3/bPN1B3/P2PP1PP/1B3P1K/R4R2 w - - 4 22,141
1r2nr1k/bpp1Npp1/p3n2p/2p1B3/bPN1B3/P2PP1PP/5P1K/R4R2 b - - 0 22,152
1r3r1k/bpp1Npp1/p3nn1p/2p1BB2/bPN5/P2PP1PP/5P1K/R4R2 b - - 2 23,78
1r3r1k/bpp1Npp1/p3nn1p/2p1B3/bPN1B3/P2PP1PP/5P1K/R4R2 w - - 1 23,157
1r2r2k/bpp1Npp1/p3nn1p/2p1BB2/bPN5/P2PP1PP/5P1K/R4R2 w - - 3 24,83
1r2r2k/bpp1Npp1/p3nB1p/2p2B2/bPN5/P2PP1PP/5P1K/R4R2 b - - 0 24,77
1r2r2k/bpp1Np2/p3np1p/2p2B2/bPN5/P2PP1PP/5P1K/R4R2 w - - 0 25,74
1r2r3/1pp2pk1/p3np1p/2bN1B2/b1N5/P2PP1PP/5P1K/R4R2 w - - 0 27,71
1r2r3/bpp2pk1/p3np1p/2pN1B2/bPN5/P2PP1PP/5P1K/R4R2 w - - 2 26,75
1r2r3/bpp2pk1/p3np1p/2PN1B2/b1N5/P2PP1PP/5P1K/R4R2 b - - 0 26,36
1r2r2k/bpp2p2/p3np1p/2pN1B2/bPN5/P2PP1PP/5P1K/R4R2 b - - 1 25,84
1r2rb2/1pp2pk1/p3np1p/N2N1B2/b7/P2PP1PP/5P1K/R1R5 b - - 3 28,74
1r2rb2/1pp2pk1/p3np1p/3N1B2/b1N5/P2PP1PP/5P1K/R1R5 w - - 2 28,77
1r2r3/1pp2pk1/p3np1p/2bN1B2/b1N5/P2PP1PP/5P1K/R1R5 b - - 1 27,78
1r2rb2/2p2pk1/pp2np1p/N2N1B2/b7/P2PP1PP/5P1K/R1R5 w - - 0 29,96
1r2rb2/2p2pk1/ppN1np1p/3N1B2/b7/P2PP1PP/5P1K/R1R5 b - - 1 29,104
4rb2/1rp2pk1/ppN1np1p/3N1B2/b1R5/P2PP1PP/5P1K/R7 b - - 3 30,105
4rb2/1rp2pk1/ppN1np1p/1b1N1B2/6R1/P2PP1PP/5P1K/R7 b - - 5 31,93
4rb2/1rp2pk1/ppN1np1p/3N1B2/b7/P2PP1PP/5P1K/R1R5 w - - 2 30,108
4rb2/1rp2pk1/ppN1np1p/1b1N1B2/2R5/P2PP1PP/5P1K/R7 w - - 4 31,113
4rb2/1rp2pk1/ppN2p1p/1b1N1Bn1/6R1/P2PP1PP/5P1K/R7 w - - 6 32,107
5b2/1rpB1pk1/ppN1rp1p/1b1N2n1/6R1/P2PP1PP/5P1K/R7 w - - 8 33,-42
4rb2/1rpB1pk1/ppN2p1p/1b1N2n1/6R1/P2PP1PP/5P1K/R7 b - - 7 32,-36
5b2/1rp2pk1/ppb1Bp1p/3N2n1/6R1/P2PP1PP/5P1K/R7 w - - 0 34,-45
5b2/1rp2pk1/ppb1Bp1p/6n1/5NR1/P2PP1PP/5P1K/R7 b - - 1 34,-40
5b2/1rp3k1/ppb1Np1p/6n1/6R1/P2PP1PP/5P1K/R7 b - - 0 35,-44
5b2/1rp2pk1/ppN1Bp1p/1b1N2n1/6R1/P2PP1PP/5P1K/R7 b - - 0 33,-38
5bk1/1rp5/ppb1Np1p/6n1/6R1/P2PP1PP/5P1K/R7 w - - 1 36,-40
5b2/1rp3k1/ppb1pp1p/6n1/5NR1/P2PP1PP/5P1K/R7 w - - 0 35,-35
3N1bk1/1rp5/pp3p1p/6n1/6R1/P2PPbPP/5P1K/R7 w - - 3 37,-42
3N1bk1/1rp5/ppb2p1p/6n1/6R1/P2PP1PP/5P1K/R7 b - - 2 36,-39
5bk1/1bp5/pp3p1p/6n1/6RP/P2PP1P1/5P1K/R7 b - - 0 38,-32
5bk1/1bp5/pp3p1p/6n1/6R1/P2PP1PP/5P1K/R7 w - - 0 38,-27
5bk1/1bp5/pp5p/5p2/5R1P/P2PPnPK/5P2/R7 b - - 3 40,0
5bk1/1bp5/pp5p/5pn1/6RP/P2PP1P1/5P1K/R7 w - - 0 39,-9
5bk1/1Np5/pp3p1p/6n1/6R1/P2PPbPP/5P1K/R7 b - - 0 37,-31
5bk1/1bp5/pp5p/5p2/5R1P/P2PPnP1/5P1K/R7 w - - 2 40,-18
5bk1/1bp5/pp5p/5pn1/5R1P/P2PP1P1/5P1K/R7 b - - 1 39,-7
2b2bk1/2p5/pp5p/5p2/P1nP1R1P/4P1PK/5P2/2R5 b - - 2 43,-31
5bk1/1bp5/pp5p/4np2/5R1P/P2PP1PK/5P2/R7 w - - 4 41,26
2b2bk1/2p5/pp5p/5p2/P1nP1R1P/4P1PK/5P2/R7 w - - 1 43,0
2b2bk1/2p5/p6p/1p3p2/P1nP1R1P/4P1PK/5P2/2R5 w - - 0 44,-27
5bk1/1bp5/pp5p/5p2/2nP1R1P/P3P1PK/5P2/R7 w - - 1 42,14
2b2bk1/2p5/7p/1p1P1p2/2n2R1P/4P1PK/5P2/2R5 b - - 0 45,-23
5bk1/1bp5/pp5p/4np2/3P1R1P/P3P1PK/5P2/R7 b - - 0 41,12
2b2bk1/2p5/p6p/1P3p2/2nP1R1P/4P1PK/5P2/2R5 b - - 0 44,-34
2b2bk1/2p5/7p/1p3p2/2nP1R1P/4P1PK/5P2/2R5 w - - 0 45,-45
5bk1/1bp5/pp5p/5p2/P1nP1R1P/4P1PK/5P2/R7 b - - 0 42,-29
2b3k1/2p5/3b3p/1p1P1p2/2R4P/4P1PK/5P2/2R5 b - - 0 46,-18
2b3k1/2p5/3b3p/1p1P1p2/2n2R1P/4P1PK/5P2/2R5 w - - 1 46,-29
2b5/2p1k3/3b3p/3P1p2/2R4P/4P1P1/5PK1/8 w - - 3 49,0
2b5/2p1k3/3b4/3P1p1p/2R4P/4PPP1/6K1/8 w - - 0 50,0
2b3k1/2p5/3b3p/3P1p2/2R4P/4P1PK/5P2/8 b - - 0 47,-13
2b5/2p1k3/3b3p/3P1p2/2R4P/4PPP1/6K1/8 b - - 0 49,-5
8/1bp1k3/3b4/3P1p1p/2R4P/4PPP1/5K2/8 w - - 2 51,0
8/1bp1k3/8/2bP1p1p/3R3P/4PPP1/5K2/8 w - - 4 52,0
8/1bp1k3/8/2bP1p1p/5R1P/4PPP1/5K2/8 b - - 5 52,0
2b5/2p2k2/3b3p/3P1p2/2R4P/4P1PK/5P2/8 w - - 1 48,-43
2b5/2p1k3/8/2bP1p1p/5R1P/4PPP1/5K2/8 w - - 6 53,0
2b5/2p1k3/8/2bP1p1p/R6P/4PPP1/5K2/8 b - - 7 53,0
8/1bp1k3/3b4/3P1p1p/3R3P/4PPP1/5K2/8 b - - 3 51,-4
2b5/2p1k3/3b4/3P1p1p/2R4P/4PPP1/5K2/8 b - - 1 50,-3
2b5/2p2k2/3b3p/3P1p2/2R4P/4P1P1/5PK1/8 b - - 2 48,-10
2b3k1/2p5/3b3p/3P1p2/2p4P/4P1PK/5P2/2R5 w - - 0 47,-25
8/1bp1k3/8/2bP1p1p/R6P/4PPP1/5K2/8 w - - 8 54,21
rnbqkb1r/ppp2ppp/4pn2/8/2pPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 5,33
rnbqk2r/ppp2ppp/4pn2/6B1/1bpPP3/2N2N2/PP3PPP/R2QKB1R b KQkq - 2 6,31
rnbqk2r/ppp2ppp/4pn2/8/1bpPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 1 6,39
rnbqk2r/pp3ppp/4pn2/2p3B1/1bBPP3/2N2N2/PP3PPP/R2QK2R b KQkq - 0 7,36
rnbqk2r/pp3ppp/4pn2/2p3B1/1bpPP3/2N2N2/PP3PPP/R2QKB1R w KQkq - 0 7,27
rnbqk2r/pp3ppp/4pn2/6B1/1bBpP3/2N2N2/PP3PPP/R2QK2R w KQkq - 0 8,19
rnbqk2r/pp3ppp/4pn2/6B1/1bBNP3/2N5/PP3PPP/R2QK2R b KQkq - 0 8,36
rnbqk2r/pp3ppp/4pn2/6B1/2BNP3/2b5/PP3PPP/R2QK2R w KQkq - 0 9,24
rnbqk2r/pp3ppp/4pn2/6B1/2BNP3/2P5/P4PPP/R2QK2R b KQkq - 0 9,28
rnb1k2r/pp3ppp/4pn2/qN4B1/2B1P3/2P5/P4PPP/R2QK2R b KQkq - 2 10,13
rnb1k2r/pp3ppp/4pn2/q5B1/2BNP3/2P5/P4PPP/R2QK2R w KQkq - 1 10,20
rn5r/pp2kppp/2bNpn2/q5B1/2B1P3/2P5/P2Q1PPP/R3K2R w KQ - 7 13,102
rn2k2r/pp1b1ppp/4pn2/qN4B1/2B1P3/2P5/P4PPP/R2QK2R w KQkq - 3 11,112
rn5r/pp1bkppp/3Npn2/q5B1/2B1P3/2P5/P2Q1PPP/R3K2R b KQ - 6 12,121
rn5r/pp1bkppp/3Npn2/q5B1/2B1P3/2P5/P4PPP/R2QK2R w KQ - 5 12,130
rn2k2r/pp1b1ppp/3Npn2/q5B1/2B1P3/2P5/P4PPP/R2QK2R b KQkq - 4 11,129
r6r/pp1nkppp/2bNpn2/q5B1/2B1PP2/2P5/P2Q2PP/R3K2R w KQ - 1 14,129
rn5r/pp2kppp/2bNpn2/q5B1/2B1PP2/2P5/P2Q2PP/R3K2R b KQ - 0 13,140
r2r4/pp1nkpp1/2bNpn1p/q5B1/2BQPP2/2P5/P5PP/3RK2R w K - 0 16,117
r2r4/pp1nkppp/2bNpn2/q5B1/2BQPP2/2P5/P5PP/3RK2R b K - 4 15,36
r2r4/pp1nkpp1/2bNpn1p/q7/2BQPP1B/2P5/P5PP/3RK2R b K - 1 16,99
r2r4/pp1nkpp1/2bNpn1p/7q/2BQPP1B/2P5/P5PP/3RK2R w K - 2 17,90
r2r1k2/pp1n1pp1/2bNpn1p/7q/2BQPP2/2P5/P4BPP/3RK2R w K - 4 18,190
r2r4/pp1nkppp/2bNpn2/q5B1/2B1PP2/2P5/P2Q2PP/3RK2R w K - 3 15,74
r6r/pp1nkppp/2bNpn2/q5B1/2B1PP2/2P5/P2Q2PP/3RK2R b K - 2 14,65
r2r1k2/pp1n1pp1/2bNp2p/3nP2q/2BQ1P2/2P5/P4BPP/3RK2R w K - 1 19,211
r2r1k2/pp1n1pp1/2bNp2p/3nP2q/2BQ1P2/2P5/P4BPP/3R1RK1 b - - 2 19,122
r2r1k2/pp1n1pp1/2bNpn1p/4P2q/2BQ1P2/2P5/P4BPP/3RK2R b K - 0 18,184
r2r4/pp1nkpp1/2bNpn1p/7q/2BQPP2/2P5/P4BPP/3RK2R b K - 3 17,34
r2r1k2/pp1n1pp1/2bNp2p/3nP3/2BQ1Pq1/2P4P/P4BP1/3R1RK1 b - - 0 20,298
r2r1k2/pp1n1pp1/2bNp2p/3nP3/2BQ1Pq1/2P5/P4BPP/3R1RK1 w - - 3 20,299
r2r1k2/pp1n1pp1/2bNp2p/3nPP1q/2BQ4/2P4P/P4BP1/3R1RK1 b - - 0 21,347
r2r1k2/pp1n1pp1/2bNp2p/3nP2q/2BQ1P2/2P4P/P4BP1/3R1RK1 w - - 1 21,311
r2r2k1/pp3pp1/1nbNp2p/3BPP1q/3Q4/2PR3P/P4BP1/5RK1 b - - 0 23,240
r2r2k1/pp3pp1/1nbNp2p/3nPP1q/2BQ4/2PR3P/P4BP1/5RK1 w - - 3 23,416
r2r2k1/pp1n1pp1/2bNp2p/3nPP1q/2BQ4/2P4P/P4BP1/3R1RK1 w - - 1 22,387
r2r2k1/pp3pp1/1n1Np2p/3bPP1q/3Q4/2PR3P/P4BP1/5RK1 w - - 0 24,334
r2r2k1/pp1n1pp1/2bNp2p/3nPP1q/2BQ4/2PR3P/P4BP1/5RK1 b - - 2 22,400
r5k1/pp1r1pp1/1n1Np2p/3bPP1q/3Q4/2P3RP/P4BP1/5RK1 w - - 2 25,439
r5k1/pp1r1pp1/1n1Np2p/3bPP1q/3Q4/2P1B1RP/P5P1/5RK1 b - - 3 25,454
r2r2k1/pp3pp1/1n1Np2p/3bPP1q/3Q4/2P3RP/P4BP1/5RK1 b - - 1 24,367
r5k1/pp1r2p1/1n1NpP1p/5P1q/2bQ1R2/2P1B1RP/P5P1/6K1 b - - 0 27,751
r5k1/pp1r1pp1/1n1Np2p/4PP1q/2bQ4/2P1B1RP/P5P1/5RK1 w - - 4 26,687
r5k1/pp1r2p1/1n1N1P1p/4QP2/2b2R2/2P1B1RP/P5P1/3q2K1 w - - 1 29,968
r5k1/pp1r2p1/1n1N1P1p/4QP2/2b2R2/2P1B1RP/P5PK/3q4 b - - 2 29,1015
r5k1/pp1r1pp1/1n1Np2p/4PP1q/2bQ1R2/2P1B1RP/P5P1/6K1 b - - 5 26,734
r5k1/pp1r2p1/1n1Npp1p/4PP1q/2bQ1R2/2P1B1RP/P5P1/6K1 w - - 0 27,726
r5k1/pp1r2p1/1n1N1P1p/4pP1q/2bQ1R2/2P1B1RP/P5P1/6K1 w - - 0 28,834
r5k1/pp1r2p1/1n1q1P1p/4QP2/2b2R2/2P1B1RP/P5PK/8 w - - 0 30,1253
r5k1/pp1r1Pp1/1n1q3p/4QP2/2b2R2/2P1B1RP/P5PK/8 b - - 0 30,M22
r6Q/pp1rk3/1n1q3p/5P2/2b2R2/2P1B1RP/P5PK/8 w - - 3 33,M9
r6Q/pp1rk3/1n1q3p/5P2/2b1R3/2P1B1RP/P5PK/8 b - - 4 33,M8
r1b2rk1/ppq2pp1/4pn1p/2n1N3/5B2/3B4/PPPKQPPP/R2R4 w - - 3 17,45
r1b2rk1/ppq2pp1/4pn1p/2n1N3/5B2/3B4/PPP1QPPP/R2RK3 b - - 4 17,40
r1b2rk1/ppq2pp1/4p2p/2nnN3/5B2/3B4/PPP1QPPP/R2RK3 w - - 5 18,39
r7/pp1r1kp1/1n1q3p/4QP2/2b2R2/2P1B1RP/P5PK/8 w - - 0 31,1202
r1b2rk1/ppq2pp1/4p2p/2nnN3/8/3B2B1/PPP1QPPP/R2RK3 b - - 6 18,25
r1b2rk1/ppq2pp1/4p2p/3nN3/8/3n2B1/PPP1QPPP/R2RK3 w - - 0 19,32
r1b2rk1/ppq2pp1/4p2p/3nN3/8/3R2B1/PPP1QPPP/R3K3 b - - 0 19,13
r3k2Q/pp1r4/1n1q3p/5P2/2b2R2/2P1B1RP/P5PK/8 b - - 2 32,1442
r1b2rk1/p1q2pp1/4p2p/1p1nN3/8/3R2B1/PPP1QPPP/R3K3 w - - 0 20,31
r1b2rk1/p1q2pp1/4p2p/1p1nN3/8/2PR2B1/PP2QPPP/R3K3 b - - 0 20,12
r1b2rk1/pq3pp1/4p2p/1p1nN3/8/2PR2B1/PP2QPPP/R3K3 w - - 1 21,55
r1b2rk1/pq3pp1/4p2p/1p1nN3/8/2PR2B1/PP2QPPP/3RK3 b - - 2 21,40
rnb1k2r/pp3ppp/4p3/qN4B1/2B1n3/2P5/P4PPP/R2QK2R w KQkq - 0 11,35
rnb2rk1/pp3ppp/4p3/qN4B1/2B1Q3/2P5/P4PPP/R3K2R b KQ - 0 12,32
rnb2rk1/pp3ppp/4p3/qN4B1/2BQn3/2P5/P4PPP/R3K2R w KQ - 2 12,36
rnb1k2r/pp3ppp/4p3/qN4B1/2BQn3/2P5/P4PPP/R3K2R b KQkq - 1 11,60
rnb2rk1/1p3ppp/p3p3/qN4B1/2B1Q3/2P5/P4PPP/R3K2R w KQ - 0 13,31
rnb2rk1/1p2Bppp/p3p3/qN6/2B1Q3/2P5/P4PPP/R3K2R b KQ - 1 13,23
rnb2rk1/1p3ppp/4p3/qp6/1BB1Q3/2P5/P4PPP/R3K2R b KQ - 1 14,15
rnb2rk1/1pq2ppp/4p3/1p6/1BB1Q3/2P5/P4PPP/R3K2R w KQ - 2 15,27
rnb2rk1/1p2Bppp/4p3/qp6/2B1Q3/2P5/P4PPP/R3K2R w KQ - 0 14,29
rn3rk1/1pqb1ppp/4p3/1B6/1B2Q3/2P5/P4PPP/R3K2R w KQ - 1 16,13
